sample	max	IS_name	Total_IS
Eclo_VC_600-1	2	 IS5075_IS110_IS1111	3
Eclo_VC_79371	2	 ISEhe3_IS3_IS51	9
Ecol_VC_312-2	42	 IS621_IS110_unknown	127
Ecol_VC_490-1	29	 IS621_IS110_unknown	62
Kaer_VC_72242	2	 ISEhe3_IS3_IS51	5
Kpne_VC_01561	6	 ISKpn1_IS3_IS150	8
Kpne_VC_11528	11	 IS903_IS5_IS903	68
Kpne_VC_175-1	6	 ISKpn1_IS3_IS150	16
Kpne_VC_22077	6	 ISKpn1_IS3_IS150	8
Kpne_VC_629-2	2	 ISKpn1_IS3_IS150	10
Kpne_VC_62984	3	 ISKpn1_IS3_IS150	9
Kpne_VC_74520	5	 ISKpn1_IS3_IS150	30
Kpne_VC_79372	2	 ISKpn54_IS3_IS407	7
Kpne_VC_86478	8	 ISKpn1_IS3_IS150	11
Kpne_VC_86523	6	 ISKpn1_IS3_IS150	9
Kpne_VC_86855	4	 ISKpn54_IS3_IS407	28
Kpne_VC_89440	2	 ISEc9_IS1380_unknown	5
Kpne_VC_94648	6	 ISKpn1_IS3_IS150	12
Kpne_VC_94881	2	 ISEcl1_IS3_IS2	7
