Sample	Median length	Median quality	Total reads	Total bases	MaxQ	Longest read	Sample	Median length	Median quality	Total reads	Total bases	MaxQ	Longest read
Eclo_VC_600-1	1,228.0	17.2	236,980.0	617,097,716.0	46.1	223738	Eclo_VC_600-1	1,729.0	19.1	184,766.0	585,741,930.0	46.3	223718
Eclo_VC_79371	1,011.0	15.4	276,100.0	521,473,985.0	26.5	104007	Eclo_VC_79371	1,262.0	17.4	222,266.0	484,894,888.0	29.7	103987
Ecol_VC_312-2	1,210.0	15.7	244,725.0	600,558,470.0	24.4	156352	Ecol_VC_312-2	1,509.0	17.6	198,729.0	560,729,497.0	29.6	156332
Ecol_VC_490-1	894.0	17.1	254,103.0	522,206,800.0	46.2	94088	Ecol_VC_490-1	1,538.0	19.4	175,792.0	489,694,163.0	46.8	94068
Kaer_VC_72242	892.0	15.2	332,544.0	561,288,957.0	25.8	92532	Kaer_VC_72242	1,164.0	17.5	256,724.0	518,875,758.0	29.3	92512
Kpne_VC_01561	1,107.0	16.8	247,547.0	592,439,640.0	47.2	210487	Kpne_VC_01561	1,688.0	18.9	183,597.0	560,215,982.0	47.2	210467
Kpne_VC_11528	615.0	16.8	139,469.0	200,410,452.0	46.1	102855	Kpne_VC_11528	1,203.0	21.9	86,635.0	184,409,561.0	46.9	102835
Kpne_VC_175-1	1,135.0	15.7	255,641.0	618,066,149.0	26.1	387120	Kpne_VC_175-1	1,427.0	17.7	207,507.0	583,964,977.0	27.5	387100
Kpne_VC_22077	1,080.0	16.5	151,815.0	317,756,222.0	44.9	273797	Kpne_VC_22077	1,583.0	18.7	113,792.0	298,165,887.0	45.4	130212
Kpne_VC_629-2	1,395.0	16.0	215,315.0	622,023,311.0	26.0	219792	Kpne_VC_629-2	1,851.0	18.0	172,135.0	588,204,601.0	28.5	219772
Kpne_VC_62984	1,059.0	15.4	189,503.0	427,453,756.0	25.3	89945	Kpne_VC_62984	1,504.0	17.7	142,979.0	398,341,966.0	28.1	89925
Kpne_VC_74520	1,301.0	15.9	234,390.0	604,571,882.0	27.2	250822	Kpne_VC_74520	1,677.0	17.8	188,771.0	569,277,370.0	28.6	250802
Kpne_VC_79372	822.0	14.8	198,036.0	320,322,047.0	24.9	87768	Kpne_VC_79372	1,204.0	17.4	141,437.0	293,569,499.0	27.6	87748
Kpne_VC_86478	1,256.0	15.9	196,247.0	480,926,645.0	25.5	93933	Kpne_VC_86478	1,626.0	17.9	157,272.0	451,140,278.0	28.2	93913
Kpne_VC_86523	1,222.0	15.7	206,869.0	541,150,695.0	25.0	246582	Kpne_VC_86523	1,823.0	18.0	153,649.0	508,362,326.0	27.9	246562
Kpne_VC_86855	1,460.0	16.0	406,685.0	940,254,277.0	28.0	199239	Kpne_VC_86855	1,634.0	17.6	344,081.0	888,124,206.0	33.7	199219
Kpne_VC_89440	1,393.0	16.2	398,475.0	1,089,846,084.0	26.0	125062	Kpne_VC_89440	1,735.0	18.1	330,391.0	1,032,900,318.0	28.5	125042
Kpne_VC_94648	1,031.0	15.1	201,513.0	435,731,179.0	25.8	65694	Kpne_VC_94648	1,540.0	17.5	147,265.0	405,236,735.0	26.1	65674
Kpne_VC_94881	869.0	14.9	194,468.0	379,616,846.0	25.9	116138	Kpne_VC_94881	1,320.0	17.5	139,992.0	352,102,273.0	29.7	116118
