Lab_id	Strain	ID	Barcode	Barcode_rep1	Barcode_rep2	Seq_date	Seq_date_rep1	Seq_date_rep2	DNA_conc	Depth	Assembly_score	Extraction_kit	Barcoding_kit	Instrument	Flowcell_type	Flowcell	Pores_start	Pores_end	Seq_hours	Samples_per_run	Samples_to_repeat	Median_length_pre	Median_quality_pre	N_reads_pre	N_bases_pre	Median_length_post	Median_quality_post	N_reads_post	N_bases_post	Pct_bases_kept
1	x	Eclo_VC_600-1	01						62,2																					
2	x	Eclo_VC_79371	02						38																					
3	x	Ecol_VC_312-2	03						1200																					
4	x	Ecol_VC_490-1	04						30,5																					
5	x	Kaer_VC_72242	05						38,3																					
6	x	Kpne_VC_01561	06						44,9																					
7	x	Kpne_VC_11528	07						821																					
8	x	Kpne_VC_175-1	08						24,2																					
9	x	Kpne_VC_22077	09						24,3																					
10	x	Kpne_VC_629-2	10						24,6																					
11	x	Kpne_VC_62984	11						35,2																					
12	x	Kpne_VC_74520	12						40,1																					
13	x	Kpne_VC_79372	13						33,9																					
14	x	Kpne_VC_86478	14						33,8																					
15	x	Kpne_VC_86523	15						40,7																					
16	x	Kpne_VC_86855	16						31,7																					
17	x	Kpne_VC_89440	17						34,9																					
18	x	Kpne_VC_94648	18						55,9																					
19	x	Kpne_VC_94881	19						29,5																					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
