Sample	Reads(%)	Genus	Reads(%)	Species
Eclo_VC_600-1 	76.39 	Enterobacter  	17.09 	Enterobacter hormaechei 
Eclo_VC_600-1 	76.39 	Enterobacter  	4.03 	Enterobacter cloacae 
Eclo_VC_79371 	70.28 	Enterobacter  	48.76 	Enterobacter hormaechei 
Ecol_VC_312-2 	61.17 	Escherichia  	58.54 	Escherichia coli 
Ecol_VC_490-1 	60.01 	Escherichia  	56.52 	Escherichia coli 
Kaer_VC_72242 	72.14 	Klebsiella  	67.11 	Klebsiella aerogenes 
Kaer_VC_72242 	72.14 	Klebsiella  	6.07 	Leclercia adecarboxylata 
Kpne_VC_01561 	85.43 	Klebsiella  	71.42 	Klebsiella pneumoniae 
Kpne_VC_11528 	84.32 	Klebsiella  	35.49 	Klebsiella pneumoniae 
Kpne_VC_175-1 	80.83 	Klebsiella  	65.83 	Klebsiella pneumoniae 
Kpne_VC_22077 	82.88 	Klebsiella  	67.02 	Klebsiella pneumoniae 
Kpne_VC_629-2 	86.15 	Klebsiella  	74.07 	Klebsiella pneumoniae 
Kpne_VC_62984 	84.47 	Klebsiella  	70.74 	Klebsiella pneumoniae 
Kpne_VC_74520 	86.33 	Klebsiella  	49.25 	Klebsiella pneumoniae 
Kpne_VC_79372 	81.82 	Klebsiella  	59.60 	Klebsiella quasipneumoniae 
Kpne_VC_86478 	80.04 	Klebsiella  	67.63 	Klebsiella pneumoniae 
Kpne_VC_86523 	85.62 	Klebsiella  	74.32 	Klebsiella pneumoniae 
Kpne_VC_86855 	59.84 	Klebsiella  	33.04 	Klebsiella pneumoniae 
Kpne_VC_86855 	59.84 	Klebsiella  	14.21 	Escherichia coli 
Kpne_VC_89440 	86.64 	Klebsiella  	74.36 	Klebsiella pneumoniae 
Kpne_VC_94648 	83.14 	Klebsiella  	70.85 	Klebsiella pneumoniae 
Kpne_VC_94881 	81.27 	Klebsiella  	66.70 	Klebsiella pneumoniae 

